gender,age,income_bracket,occupation_group,marital_status,investment_propensity,product_amt
남,50대,10000만원이상,사무종사자,기혼,공격투자형,44650000
여,50대,10000만원미만,사무종사자,기혼,안정추구형,10733000
여,30대,3000만원미만,서비스업,기혼,위험중립형,1798000
여,40대,3000만원미만,전문직,기혼,적극투자형,1557000
여,60대,10000만원미만,전문직,기혼,적극투자형,23428000
남,30대,5000만원미만,사무종사자,기혼,위험중립형,9557000
남,30대,5000만원미만,기타,기혼,안정추구형,12374000
남,40대,5000만원미만,사무종사자,기혼,공격투자형,4395000
남,60대,10000만원미만,서비스업,기혼,안정형,12452000
여,30대,1000만원미만,서비스업,미혼,적극투자형,962000
남,40대,3000만원미만,전문직,기혼,공격투자형,1862000
여,30대,1000만원미만,기타,기혼,위험중립형,695000
남,20대,5000만원미만,서비스업,기혼,안정형,3491000
남,30대,5000만원미만,서비스업,미혼,적극투자형,8446000
남,40대,1000만원미만,기타,기혼,안정형,840000
남,50대,3000만원미만,자영업,미혼,위험중립형,1916000
여,40대,1000만원미만,전문직,미혼,공격투자형,1281000
여,50대,10000만원이상,기타,미혼,위험중립형,75788000
남,60대,1000만원미만,서비스업,미혼,안정추구형,660000
여,20대,3000만원미만,자영업,기혼,적극투자형,2373000
남,50대,10000만원미만,기타,기혼,안정형,17296000
남,30대,10000만원이상,사무종사자,기혼,위험중립형,43482000
남,30대,3000만원미만,사무종사자,미혼,안정형,2602000
남,20대,10000만원미만,기타,미혼,적극투자형,11296000
남,40대,3000만원미만,자영업,미혼,안정형,3525000
여,60대,1000만원미만,사무종사자,미혼,위험중립형,908000
여,30대,1000만원미만,자영업,기혼,위험중립형,1802000
남,50대,3000만원미만,기타,미혼,공격투자형,1549000
남,50대,1000만원미만,기타,미혼,안정추구형,1233000
남,40대,10000만원미만,사무종사자,기혼,적극투자형,16597000
남,30대,10000만원미만,사무종사자,기혼,적극투자형,13368000
남,20대,10000만원미만,전문직,미혼,위험중립형,15256000
여,60대,1000만원미만,서비스업,미혼,위험중립형,683000
여,30대,10000만원미만,서비스업,미혼,적극투자형,23319000
남,50대,5000만원미만,사무종사자,기혼,안정형,5018000
여,40대,1000만원미만,사무종사자,기혼,안정형,840000
여,50대,5000만원미만,서비스업,기혼,공격투자형,8632000
여,30대,3000만원미만,사무종사자,기혼,적극투자형,2267000
남,50대,5000만원미만,기타,기혼,공격투자형,7229000
여,60대,1000만원미만,자영업,기혼,위험중립형,1131000
여,50대,10000만원미만,서비스업,미혼,안정형,26024000
여,30대,10000만원미만,자영업,기혼,적극투자형,9486000
남,30대,10000만원미만,사무종사자,미혼,공격투자형,19667000
여,40대,1000만원미만,자영업,미혼,공격투자형,795000
여,50대,1000만원미만,자영업,기혼,공격투자형,981000
여,50대,5000만원미만,전문직,미혼,안정추구형,6772000
남,30대,10000만원미만,기타,기혼,위험중립형,15524000
여,40대,3000만원미만,서비스업,미혼,위험중립형,1668000
여,30대,10000만원미만,서비스업,기혼,적극투자형,15819000
남,50대,5000만원미만,기타,미혼,안정추구형,5762000
여,60대,5000만원미만,자영업,기혼,안정추구형,4105000
남,30대,3000만원미만,기타,기혼,안정형,3622000
여,60대,3000만원미만,기타,미혼,안정추구형,2052000
여,40대,10000만원이상,사무종사자,기혼,적극투자형,21322000
여,30대,1000만원미만,기타,미혼,공격투자형,455000
여,20대,3000만원미만,전문직,기혼,공격투자형,1752000
남,30대,5000만원미만,기타,미혼,안정형,8281000
남,60대,1000만원미만,사무종사자,미혼,위험중립형,647000
남,50대,3000만원미만,사무종사자,미혼,적극투자형,4533000
여,60대,10000만원미만,자영업,미혼,적극투자형,16940000
남,20대,3000만원미만,전문직,미혼,안정추구형,1846000
여,50대,10000만원미만,사무종사자,기혼,안정추구형,10912000
남,40대,10000만원미만,전문직,미혼,위험중립형,22804000
남,60대,5000만원미만,자영업,기혼,위험중립형,8625000
남,50대,5000만원미만,기타,미혼,적극투자형,6237000
여,40대,3000만원미만,기타,미혼,적극투자형,2428000
여,50대,10000만원미만,자영업,미혼,안정추구형,11229000
여,60대,3000만원미만,기타,미혼,공격투자형,2593000
남,20대,10000만원미만,서비스업,미혼,적극투자형,13445000
여,30대,3000만원미만,사무종사자,기혼,적극투자형,2208000
남,40대,1000만원미만,자영업,미혼,적극투자형,746000
여,30대,3000만원미만,사무종사자,기혼,공격투자형,4664000
여,40대,3000만원미만,기타,기혼,안정형,1096000
남,40대,5000만원미만,사무종사자,기혼,안정형,2935000
여,50대,3000만원미만,전문직,기혼,공격투자형,2427000
여,20대,5000만원미만,서비스업,기혼,안정형,5077000
남,60대,3000만원미만,사무종사자,미혼,안정추구형,1867000
여,30대,5000만원미만,서비스업,기혼,안정형,6870000
남,20대,3000만원미만,서비스업,기혼,공격투자형,1331000
여,50대,10000만원미만,서비스업,기혼,적극투자형,12461000
여,30대,3000만원미만,사무종사자,미혼,안정형,1831000
남,30대,1000만원미만,자영업,기혼,공격투자형,815000
여,30대,5000만원미만,사무종사자,기혼,안정형,5406000
남,30대,1000만원미만,기타,미혼,공격투자형,859000
여,50대,10000만원이상,자영업,기혼,안정추구형,68351000
여,30대,3000만원미만,사무종사자,미혼,위험중립형,2779000
남,60대,1000만원미만,사무종사자,기혼,안정추구형,751000
여,40대,5000만원미만,사무종사자,미혼,안정형,6917000
남,50대,1000만원미만,서비스업,기혼,공격투자형,1216000
여,60대,5000만원미만,사무종사자,기혼,위험중립형,4985000
남,60대,10000만원미만,사무종사자,미혼,적극투자형,9812000
남,40대,10000만원미만,전문직,기혼,안정추구형,6663000
여,50대,1000만원미만,사무종사자,기혼,적극투자형,989000
여,30대,1000만원미만,기타,미혼,안정형,743000
여,30대,3000만원미만,기타,기혼,위험중립형,2357000
여,40대,3000만원미만,자영업,미혼,안정형,1336000
남,30대,10000만원미만,사무종사자,기혼,위험중립형,9358000
여,40대,10000만원미만,서비스업,기혼,안정추구형,8059000
남,40대,1000만원미만,기타,기혼,적극투자형,933000
남,40대,3000만원미만,전문직,기혼,적극투자형,2832000
여,40대,5000만원미만,전문직,기혼,안정형,6802000
남,30대,10000만원미만,자영업,기혼,안정형,12701000
남,50대,5000만원미만,사무종사자,기혼,안정형,4700000
여,30대,3000만원미만,전문직,미혼,적극투자형,2099000
남,30대,5000만원미만,자영업,기혼,위험중립형,7176000
여,30대,3000만원미만,사무종사자,기혼,공격투자형,3298000
여,40대,1000만원미만,전문직,기혼,적극투자형,1621000
남,20대,3000만원미만,전문직,미혼,적극투자형,5150000
남,50대,5000만원미만,서비스업,기혼,공격투자형,4391000
남,30대,10000만원이상,자영업,기혼,안정형,28834000
여,30대,3000만원미만,자영업,기혼,적극투자형,3463000
남,50대,3000만원미만,서비스업,기혼,위험중립형,2397000
남,50대,1000만원미만,사무종사자,미혼,공격투자형,1087000
남,20대,10000만원이상,사무종사자,미혼,적극투자형,53961000
여,50대,1000만원미만,기타,기혼,위험중립형,460000
남,20대,3000만원미만,기타,미혼,안정형,1866000
여,60대,10000만원이상,전문직,미혼,안정형,21366000
남,30대,3000만원미만,사무종사자,기혼,공격투자형,3761000
여,40대,3000만원미만,전문직,미혼,공격투자형,2338000
여,40대,3000만원미만,자영업,미혼,위험중립형,2045000
남,30대,1000만원미만,서비스업,기혼,적극투자형,650000
여,50대,3000만원미만,전문직,기혼,공격투자형,2828000
남,60대,10000만원미만,자영업,미혼,공격투자형,16746000
여,30대,3000만원미만,사무종사자,기혼,공격투자형,1845000
여,20대,3000만원미만,자영업,기혼,안정형,2162000
남,30대,10000만원미만,자영업,미혼,적극투자형,18653000
남,30대,3000만원미만,전문직,기혼,위험중립형,3067000
남,20대,3000만원미만,서비스업,미혼,위험중립형,1681000
남,30대,3000만원미만,전문직,기혼,공격투자형,1198000
남,40대,3000만원미만,전문직,미혼,안정형,3443000
남,30대,10000만원이상,전문직,기혼,공격투자형,65960000
여,30대,10000만원이상,자영업,기혼,위험중립형,36601000
남,40대,5000만원미만,자영업,미혼,적극투자형,7142000
여,40대,3000만원미만,서비스업,기혼,안정형,3175000
남,40대,10000만원미만,사무종사자,기혼,안정추구형,7383000
남,20대,5000만원미만,사무종사자,기혼,안정추구형,5596000
여,40대,10000만원이상,자영업,기혼,공격투자형,37038000
여,50대,1000만원미만,서비스업,기혼,안정추구형,649000
남,60대,10000만원미만,기타,기혼,공격투자형,16901000
남,40대,5000만원미만,자영업,기혼,안정형,4793000
여,60대,1000만원미만,자영업,미혼,공격투자형,1139000
남,40대,1000만원미만,서비스업,기혼,안정형,1036000
남,60대,1000만원미만,기타,기혼,공격투자형,2094000
여,50대,10000만원이상,기타,기혼,위험중립형,40658000
여,30대,5000만원미만,서비스업,기혼,안정형,3758000
여,20대,3000만원미만,사무종사자,기혼,적극투자형,1713000
여,30대,5000만원미만,전문직,기혼,안정형,5735000
남,20대,10000만원미만,사무종사자,기혼,안정형,11679000
여,30대,1000만원미만,서비스업,기혼,위험중립형,857000
여,50대,5000만원미만,기타,기혼,공격투자형,4197000
여,40대,5000만원미만,기타,기혼,공격투자형,6030000
여,40대,5000만원미만,서비스업,기혼,안정추구형,4799000
남,50대,1000만원미만,기타,미혼,적극투자형,660000
남,50대,10000만원미만,전문직,기혼,공격투자형,34688000
남,50대,1000만원미만,자영업,기혼,안정추구형,932000
여,50대,10000만원미만,자영업,미혼,위험중립형,12815000
여,30대,5000만원미만,전문직,미혼,안정추구형,3442000
남,30대,5000만원미만,자영업,미혼,안정형,5141000
여,40대,3000만원미만,자영업,미혼,안정추구형,2663000
남,30대,3000만원미만,사무종사자,미혼,안정추구형,2011000
여,20대,3000만원미만,자영업,기혼,적극투자형,2877000
남,30대,3000만원미만,기타,기혼,안정형,2626000
남,50대,3000만원미만,전문직,기혼,적극투자형,2540000
남,60대,3000만원미만,기타,기혼,적극투자형,3164000
남,50대,3000만원미만,기타,미혼,위험중립형,2174000
여,50대,10000만원이상,사무종사자,기혼,위험중립형,37700000
남,20대,3000만원미만,사무종사자,기혼,적극투자형,2813000
여,30대,1000만원미만,전문직,기혼,위험중립형,555000
여,40대,3000만원미만,자영업,기혼,공격투자형,2573000
남,40대,3000만원미만,서비스업,기혼,안정추구형,3019000
여,30대,5000만원미만,전문직,미혼,적극투자형,9061000
남,60대,10000만원미만,기타,미혼,위험중립형,17912000
여,30대,5000만원미만,서비스업,기혼,안정추구형,6009000
남,50대,5000만원미만,서비스업,미혼,안정형,4728000
여,40대,5000만원미만,서비스업,기혼,공격투자형,8343000
남,60대,10000만원미만,기타,미혼,안정추구형,16239000
남,20대,3000만원미만,서비스업,미혼,안정추구형,1711000
여,50대,3000만원미만,자영업,기혼,안정형,1500000
남,50대,3000만원미만,전문직,기혼,위험중립형,2536000
여,50대,10000만원미만,전문직,미혼,적극투자형,19272000
여,20대,5000만원미만,자영업,기혼,안정형,7570000
남,30대,1000만원미만,서비스업,미혼,위험중립형,610000
여,40대,10000만원미만,사무종사자,미혼,안정추구형,18143000
여,40대,3000만원미만,전문직,기혼,적극투자형,1872000
남,30대,3000만원미만,서비스업,기혼,위험중립형,3640000
여,20대,3000만원미만,사무종사자,미혼,적극투자형,1669000
남,40대,5000만원미만,서비스업,기혼,적극투자형,3097000
여,60대,10000만원미만,기타,기혼,적극투자형,17552000
남,40대,10000만원미만,기타,기혼,위험중립형,15296000
여,30대,5000만원미만,서비스업,기혼,위험중립형,5482000
여,30대,10000만원미만,전문직,기혼,공격투자형,13750000
여,60대,3000만원미만,전문직,기혼,위험중립형,2102000
남,60대,1000만원미만,사무종사자,미혼,위험중립형,709000
여,20대,5000만원미만,기타,기혼,안정형,5423000
남,50대,1000만원미만,자영업,기혼,적극투자형,702000
여,50대,10000만원이상,전문직,기혼,적극투자형,28775000
남,30대,10000만원미만,서비스업,기혼,공격투자형,22136000
남,40대,3000만원미만,전문직,미혼,공격투자형,3747000
여,30대,5000만원미만,전문직,미혼,공격투자형,4537000
여,30대,10000만원미만,전문직,기혼,안정형,11873000
여,40대,5000만원미만,서비스업,기혼,위험중립형,5370000
여,50대,10000만원미만,전문직,미혼,적극투자형,6733000
남,30대,10000만원이상,전문직,기혼,위험중립형,62678000
남,20대,5000만원미만,서비스업,미혼,안정추구형,9260000
남,60대,3000만원미만,사무종사자,미혼,안정형,3579000
여,30대,3000만원미만,전문직,기혼,안정추구형,2636000
남,30대,1000만원미만,사무종사자,미혼,위험중립형,964000
남,50대,10000만원미만,자영업,기혼,안정추구형,16808000
남,40대,5000만원미만,전문직,기혼,안정추구형,6540000
남,50대,1000만원미만,기타,기혼,안정형,1172000
남,60대,1000만원미만,사무종사자,기혼,위험중립형,806000
남,30대,3000만원미만,기타,기혼,안정추구형,2919000
남,50대,10000만원이상,전문직,기혼,적극투자형,41451000
남,30대,10000만원이상,기타,기혼,안정추구형,39330000
여,30대,10000만원이상,기타,미혼,적극투자형,39785000
남,30대,3000만원미만,사무종사자,미혼,공격투자형,2999000
여,40대,5000만원미만,서비스업,기혼,적극투자형,8562000
여,50대,10000만원미만,전문직,기혼,적극투자형,34948000
남,30대,3000만원미만,서비스업,기혼,안정형,2445000
남,40대,10000만원미만,전문직,미혼,공격투자형,17777000
여,30대,3000만원미만,자영업,기혼,안정형,2379000
남,20대,5000만원미만,전문직,기혼,위험중립형,5944000
여,20대,10000만원이상,서비스업,미혼,위험중립형,20381000
여,60대,10000만원이상,자영업,기혼,안정추구형,22303000
남,30대,10000만원미만,기타,미혼,안정형,19046000
여,40대,3000만원미만,사무종사자,기혼,공격투자형,4793000
여,30대,3000만원미만,서비스업,기혼,위험중립형,1874000
여,40대,3000만원미만,전문직,기혼,안정추구형,1228000
여,20대,5000만원미만,서비스업,기혼,공격투자형,9816000
남,40대,10000만원미만,서비스업,기혼,적극투자형,17532000
여,30대,1000만원미만,사무종사자,미혼,안정추구형,761000
남,40대,3000만원미만,자영업,미혼,위험중립형,2727000
여,20대,5000만원미만,기타,미혼,안정형,3453000
여,50대,3000만원미만,기타,기혼,안정형,2224000
남,20대,3000만원미만,자영업,미혼,공격투자형,3014000
남,20대,10000만원미만,사무종사자,미혼,위험중립형,11172000
여,60대,3000만원미만,전문직,미혼,안정추구형,2639000
여,50대,5000만원미만,서비스업,미혼,적극투자형,5420000
남,40대,10000만원미만,전문직,미혼,공격투자형,21449000
남,50대,3000만원미만,기타,미혼,적극투자형,4183000
남,40대,10000만원미만,자영업,기혼,공격투자형,13855000
여,30대,10000만원미만,서비스업,미혼,안정추구형,13801000
남,20대,10000만원미만,서비스업,기혼,안정형,10185000
여,40대,10000만원이상,기타,미혼,공격투자형,31895000
여,50대,5000만원미만,사무종사자,미혼,안정추구형,7548000
남,20대,5000만원미만,서비스업,기혼,위험중립형,2868000
남,20대,3000만원미만,전문직,기혼,공격투자형,2820000
여,60대,5000만원미만,사무종사자,기혼,공격투자형,5829000
여,40대,10000만원이상,기타,기혼,안정추구형,41581000
여,30대,10000만원미만,사무종사자,기혼,안정추구형,13483000
여,30대,3000만원미만,전문직,미혼,안정추구형,1948000
남,60대,5000만원미만,자영업,기혼,적극투자형,7780000
남,30대,3000만원미만,사무종사자,기혼,공격투자형,2924000
남,50대,5000만원미만,사무종사자,기혼,적극투자형,3394000
여,40대,5000만원미만,기타,기혼,안정형,3797000
여,20대,10000만원이상,서비스업,기혼,안정형,69524000
남,30대,1000만원미만,자영업,미혼,안정형,584000
여,30대,10000만원미만,자영업,기혼,공격투자형,10315000
여,30대,5000만원미만,기타,미혼,위험중립형,3747000
여,60대,3000만원미만,전문직,기혼,위험중립형,3502000
여,50대,5000만원미만,기타,기혼,공격투자형,6430000
여,50대,10000만원이상,사무종사자,미혼,적극투자형,56805000
여,60대,10000만원미만,사무종사자,미혼,안정형,16057000
남,30대,1000만원미만,사무종사자,기혼,공격투자형,1129000
여,20대,10000만원이상,사무종사자,기혼,안정추구형,27837000
남,60대,3000만원미만,서비스업,기혼,안정형,2096000
남,50대,3000만원미만,기타,기혼,위험중립형,2074000
남,30대,5000만원미만,기타,기혼,안정추구형,6461000
여,30대,5000만원미만,서비스업,미혼,안정추구형,9144000
여,60대,10000만원이상,기타,미혼,위험중립형,41983000
남,30대,3000만원미만,기타,기혼,안정형,1355000
남,20대,1000만원미만,전문직,미혼,안정형,1036000
여,30대,1000만원미만,사무종사자,기혼,안정추구형,1067000
여,50대,3000만원미만,사무종사자,기혼,위험중립형,1927000
남,50대,5000만원미만,기타,기혼,안정추구형,8409000
남,30대,5000만원미만,자영업,미혼,위험중립형,9938000
남,30대,5000만원미만,기타,미혼,적극투자형,5360000
남,40대,1000만원미만,자영업,기혼,적극투자형,1329000
여,40대,1000만원미만,서비스업,기혼,공격투자형,691000
남,20대,5000만원미만,기타,미혼,공격투자형,3350000
여,20대,3000만원미만,자영업,기혼,적극투자형,2372000
여,50대,1000만원미만,서비스업,미혼,안정추구형,679000
여,40대,1000만원미만,서비스업,미혼,공격투자형,607000
남,20대,5000만원미만,전문직,기혼,적극투자형,4650000
남,50대,5000만원미만,기타,미혼,공격투자형,9364000
남,40대,10000만원미만,기타,미혼,공격투자형,29118000
여,50대,3000만원미만,전문직,기혼,적극투자형,2859000
남,50대,3000만원미만,기타,기혼,적극투자형,1985000
남,20대,1000만원미만,사무종사자,기혼,공격투자형,724000
남,40대,10000만원이상,자영업,미혼,안정형,31131000
남,30대,5000만원미만,서비스업,기혼,위험중립형,8124000
여,40대,5000만원미만,자영업,기혼,공격투자형,8606000
여,30대,3000만원미만,기타,기혼,안정추구형,2661000
남,60대,1000만원미만,서비스업,기혼,적극투자형,524000
여,50대,10000만원이상,기타,기혼,적극투자형,30768000
여,40대,5000만원미만,기타,기혼,공격투자형,5673000
여,40대,10000만원이상,자영업,기혼,공격투자형,49304000
남,60대,3000만원미만,전문직,기혼,공격투자형,3524000
남,50대,10000만원미만,전문직,기혼,적극투자형,14560000
여,40대,3000만원미만,전문직,미혼,위험중립형,2456000
여,30대,5000만원미만,자영업,기혼,위험중립형,5872000
여,40대,5000만원미만,서비스업,기혼,안정형,5153000
남,50대,3000만원미만,기타,기혼,안정형,2168000
